ID,Joining Date,Account Type,Date of Birth,Ethnicity
100185,5/20/2023,Basic,7/29/1952,Asian
101515,4/14/2023,Gold,8/11/1974,Black
101744,8/29/2023,Basic,1/21/1945,Asian
102704,1/23/2023,Basic,3/9/2000,Black
103488,8/28/2023,Basic,9/26/1957,Other
104185,4/25/2023,Basic,6/8/1989,White
107924,8/2/2023,Gold,9/2/1975,Black
111490,7/2/2023,Basic,3/1/1946,Black
111501,10/12/2023,Gold,5/3/1999,Black
112161,11/13/2023,Platinum,6/27/1967,Asian
112311,5/9/2023,Gold,8/11/1990,Other
112430,7/19/2023,Basic,12/8/1948,White
113596,9/30/2023,Basic,11/19/2005,Black
114484,7/20/2023,Basic,1/19/1987,Black
115026,8/1/2023,Basic,2/26/1993,Asian
115578,7/29/2023,Gold,9/2/1961,Black
115702,3/14/2023,Platinum,2/17/1977,Black
116248,7/2/2023,Basic,2/4/2004,White
119168,12/15/2023,Basic,4/15/2015,Asian
119237,1/15/2023,Platinum,9/18/2012,Other
119971,10/1/2023,Basic,5/21/1963,Asian
120476,6/18/2023,Platinum,5/27/1976,Other
121392,8/15/2023,Gold,4/6/1980,Black
121769,8/13/2023,Gold,12/31/1948,Asian
124463,8/18/2023,Basic,5/12/1943,Other
124765,7/17/2023,Basic,10/15/1965,Black
125311,10/1/2023,Basic,5/1/2008,Black
125458,3/25/2023,Basic,6/23/1960,Other
126580,2/7/2023,Platinum,7/17/1945,Black
127539,8/27/2023,Platinum,10/2/2001,Other
127541,5/15/2023,Gold,7/13/2016,Asian
128016,6/4/2023,Platinum,10/26/1952,Black
128220,2/27/2023,Basic,3/22/1947,Other
128635,12/12/2023,Basic,6/16/2012,Asian
129983,11/7/2023,Basic,4/12/2001,Asian
130206,4/10/2023,Gold,3/19/1972,Asian
130835,12/4/2023,Basic,6/7/1984,White
131132,6/29/2023,Platinum,8/6/1949,White
131879,5/4/2023,Platinum,9/2/1952,Other
132163,3/29/2023,Basic,8/19/2019,White
134047,4/8/2023,Basic,4/6/1959,Black
134738,2/4/2023,Basic,4/21/1992,Asian
135215,12/23/2023,Platinum,2/18/1955,Other
135265,3/28/2023,Platinum,2/9/1940,White
139501,5/17/2023,Basic,1/1/1994,Asian
139746,1/19/2023,Gold,2/27/1948,Black
140062,11/22/2023,Platinum,6/7/2012,Black
140408,12/23/2023,Gold,3/17/1955,Black
141574,2/9/2023,Platinum,12/18/2012,Other
141629,11/4/2023,Basic,3/9/1957,Other
141861,12/10/2023,Gold,6/13/2005,Other
142608,7/21/2023,Gold,8/16/1994,Black
142674,10/27/2023,Basic,9/2/1987,Other
143337,5/17/2023,Gold,6/21/1980,Other
145716,9/5/2023,Gold,3/20/1995,Asian
145928,11/23/2023,Basic,8/16/1941,Other
146884,8/24/2023,Basic,5/19/1961,Black
147410,12/8/2023,Platinum,10/2/2008,White
148755,9/17/2023,Platinum,10/21/1970,White
149442,2/23/2023,Gold,6/10/1952,Other
149481,6/18/2023,Basic,6/26/1959,Asian
150324,8/11/2023,Gold,6/13/2017,White
150648,2/2/2023,Basic,6/4/1950,Black
150853,2/5/2023,Basic,7/9/1991,Other
151356,8/28/2023,Basic,2/11/2013,Asian
152219,9/3/2023,Basic,11/18/1968,Black
155384,9/9/2023,Platinum,7/4/1992,Asian
155713,1/12/2023,Platinum,7/3/2009,White
158058,10/28/2023,Platinum,2/7/1955,Other
158161,7/9/2023,Basic,10/15/2014,White
158323,9/24/2023,Platinum,5/7/1973,White
158712,12/13/2023,Gold,11/27/1948,Black
159526,5/9/2023,Basic,12/22/1986,Asian
159537,9/26/2023,Gold,7/30/2012,Asian
159759,9/29/2023,Gold,4/29/1993,Black
162027,8/8/2023,Gold,3/15/1992,Other
163418,12/28/2023,Platinum,10/24/2017,Other
163670,9/17/2023,Platinum,9/7/1970,White
165263,10/26/2023,Platinum,10/15/1970,Other
166090,4/1/2023,Platinum,2/4/2016,Black
166124,9/8/2023,Gold,5/31/1966,Black
166958,8/27/2023,Platinum,5/2/1947,Black
167376,3/26/2023,Basic,6/25/2004,Black
167545,10/23/2023,Platinum,3/15/1987,White
168221,8/17/2023,Gold,2/26/2003,Other
168605,11/14/2023,Basic,9/26/1983,Black
169924,9/11/2023,Platinum,10/20/1977,White
172511,10/18/2023,Gold,7/11/1945,Other
174699,12/2/2023,Gold,3/13/1989,Asian
174968,1/10/2023,Platinum,9/30/1980,Other
175875,10/10/2023,Gold,11/19/1970,Asian
176024,1/14/2023,Gold,12/26/1999,Other
176117,11/28/2023,Gold,4/19/1966,Asian
177159,1/11/2023,Basic,11/10/1953,White
177977,5/10/2023,Basic,4/2/1957,Asian
178058,3/29/2023,Gold,1/1/1988,Black
181477,4/12/2023,Gold,8/22/1984,Black
182172,10/12/2023,Basic,11/11/1940,Other
182216,6/11/2023,Platinum,2/13/1979,Other
182986,10/23/2023,Basic,1/1/2006,Other
184141,3/22/2023,Basic,3/18/1949,Black
184178,4/9/2023,Basic,10/29/1958,Asian
187833,12/20/2023,Basic,4/8/1992,Other
188081,2/26/2023,Basic,5/29/1969,Other
188536,9/9/2023,Basic,12/25/1946,Other
189309,10/24/2023,Platinum,1/29/1985,Other
189566,4/14/2023,Basic,9/8/1962,Other
189787,1/20/2023,Basic,5/12/1986,Black
189930,5/5/2023,Gold,1/9/1983,White
190312,11/3/2023,Gold,1/21/2014,White
191607,1/9/2023,Gold,3/15/1963,White
192505,4/6/2023,Platinum,10/15/1966,White
192752,7/12/2023,Basic,8/29/1981,Asian
194394,10/16/2023,Gold,6/18/1991,Asian
194739,12/15/2023,Basic,3/29/2002,Other
194837,7/12/2023,Platinum,6/28/1962,Other
199260,5/10/2023,Basic,1/31/1992,Other
200988,2/24/2023,Platinum,10/8/1969,Asian
201146,8/17/2023,Basic,7/1/1976,Black
201221,8/6/2023,Gold,11/10/1941,Black
201696,1/14/2023,Gold,2/5/1996,Asian
202010,6/9/2023,Gold,11/23/1988,Black
202400,8/13/2023,Basic,6/28/1962,White
